region_id,region_name,area,population,map_file,map_index
greater giyani,,4172,256127,map_subdistricts_za,64
greater letaba,,1891,218030,map_subdistricts_za,65
greater tzaneen,,2897,416146,map_subdistricts_za,66
maruleng,,3563,99946,map_subdistricts_za,68
sekhukhune,Sekhukhune,13528,1169762,map_districts_za,33
elias motsoaledi,,3713,268256,map_subdistricts_za,75
ephraim mogale,,2011,127256,map_subdistricts_za,74
fetakgomo tubatse,,5693,489902,map_subdistricts_za,193
makhuduthamaga,,2110,284435,map_subdistricts_za,76
waterberg,Waterberg,44913,745758,map_districts_za,32
Bela-bela,,3406,76296,map_subdistricts_za,72
lephalale,,13794,140240,map_subdistricts_za,71
Modimolle-mookgophong,,10367,107699,map_subdistricts_za,192
mogalakwena,,6156,325291,map_subdistricts_za,73
thabazimbi,,11190,96232,map_subdistricts_za,70
